pnbe		08:44	08:46	0.0
scy		08:48	08:49	2.2
pws		08:52	08:53	6.0
dnr		08:56	08:57	9.7
neo		09:02	09:03	15.5
gnhi		09:06	09:07	18.4
sde		09:11	09:12	22.5
patl		09:14	09:15	24.7
bta		09:17	09:18	27.0
pail		09:23	09:24	33.0
vhch		09:25	09:26	33.9
kwr		09:28	09:29	35.5
kua		09:32	09:33	39.1
jmir		09:38	09:39	44.5
ara		09:43	09:44	49.0
jgwl		09:47	09:48	52.3
krs		09:53	09:54	58.9
kya		09:58	09:59	63.1
xsan		10:01	10:02	65.1
rnte		10:04	10:05	66.5
bea		10:08	10:09	70.4
asjp		10:12	10:13	74.2
byn		10:15	10:16	76.3
skri		10:20	10:21	80.5
rpr		10:25	10:26	84.9
vkdh		10:30	10:31	89.5
twg		10:35	10:36	93.6
vvg		10:40	10:41	97.7
dure		10:44	10:45	101.1
bue		10:51	10:52	108.2
ndon		10:57	10:58	114.6
bxr		11:01	11:02	117.5
pwxp		11:09	11:10	126.4
csa		11:12	11:13	128.4
bqw		11:18	11:19	134.4
gmr		11:22	11:23	137.9
kkrh		11:26	11:27	141.7
bwh		11:30	11:31	145.7
usk		11:34	11:35	149.4
dln		11:39	11:40	153.7
drv		11:46	11:47	160.7
zna		11:52	11:53	167.2
bhcl		11:57	11:58	172.1
dha		12:04	12:05	179.6
tlam		12:11	12:12	186.9
sld		12:17	12:18	193.2
kca		12:24	12:25	200.8
eocm		12:27	12:28	202.8
mgso		12:32	12:33	206.9
mgmy		12:35	12:36	208.7
mgs		12:38	13:15	211.1
