pnbe		12:11	12:13	0.0
scy		12:15	12:16	2.2
pws		12:19	12:20	6.0
dnr		12:23	12:24	9.7
neo		12:29	12:30	15.5
gnhi		12:33	12:34	18.4
sde		12:38	12:39	22.5
patl		12:41	12:42	24.7
bta		12:44	12:45	27.0
pail		12:50	12:51	33.0
vhch		12:52	12:53	33.9
kwr		12:55	12:56	35.5
kua		12:59	13:00	39.1
jmir		13:05	13:06	44.5
ara		13:10	13:11	49.0
jgwl		13:14	13:15	52.3
krs		13:20	13:21	58.9
kya		13:25	13:26	63.1
xsan		13:28	13:29	65.1
rnte		13:31	13:32	66.5
bea		13:35	13:36	70.4
asjp		13:39	13:40	74.2
byn		13:42	13:43	76.3
skri		13:47	13:48	80.5
rpr		13:52	13:53	84.9
vkdh		13:57	13:58	89.5
twg		14:02	14:03	93.6
vvg		14:07	14:08	97.7
dure		14:11	14:12	101.1
bue		14:18	14:19	108.2
ndon		14:24	14:25	114.6
bxr		14:28	14:29	117.5
pwxp		14:36	14:37	126.4
csa		14:39	14:40	128.4
bqw		14:45	14:46	134.4
gmr		14:49	14:50	137.9
kkrh		14:53	14:54	141.7
bwh		14:57	14:58	145.7
usk		15:01	15:02	149.4
dln		15:06	15:07	153.7
drv		15:13	15:14	160.7
zna		15:19	15:20	167.2
bhcl		15:24	15:25	172.1
dha		15:31	15:32	179.6
tlam		15:38	15:39	186.9
sld		15:44	15:45	193.2
kca		15:51	15:52	200.8
eocm		15:54	15:55	202.8
mgso		15:59	16:00	206.9
mgmy		16:02	16:03	208.7
mgs		16:05	16:15	211.1
