kareli-ky	05:10	05:12	939.8
narsinghpur-nu	05:28	05:30	955.7
ghatpindrai-gpc	05:35	05:35	961.5
belkhera-beld	05:40	05:40	967.0
karak-bel-kkb	05:44	05:44	971.4
shridham-srid	05:58	06:00	986.8
bikrampur-bmr	06:11	06:11	998.6
bhitoni-bhtn	06:23	06:23	1010.2
bheraghat-brgt	06:35	06:35	1023.3
kachhpura-keq	06:46	06:46	1033.9
madan-mahal-mml	06:48	06:50	1036.4
jabalpur-junction-jbp	07:15	07:35	1039.8
